Time,PACU_VAV_BOT:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:DesPer 1:Des Heat Cap [W],PACU_VAV_BOT:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_BOT:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_BOT:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:DesPer 2:Des Heat Cap [W],PACU_VAV_BOT:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_BOT:DesPer 2:Des Tot Cool Cap [W],PACU_VAV_MID:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_MID:DesPer 1:Des Heat Cap [W],PACU_VAV_MID:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_MID:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_MID:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_MID:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_MID:DesPer 2:Des Heat Cap [W],PACU_VAV_MID:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_MID:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_MID:DesPer 2:Des Tot Cool Cap [W],PACU_VAV_TOP:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:DesPer 1:Des Heat Cap [W],PACU_VAV_TOP:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_TOP:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_TOP:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:DesPer 2:Des Heat Cap [W],PACU_VAV_TOP:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_TOP:DesPer 2:Des Tot Cool Cap [W]
00:15:00,8.431773E-01,2.779058E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,1.643578E+00,1.988389E+04,4.354679E+04,8.431773E-01,2.779058E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,8.496812E-01,1.001732E+04,2.415494E+04,8.679146E-01,2.860591E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,8.474195E-01,9.990655E+03,2.409064E+04
00:30:00,8.431773E-01,2.779058E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,1.690633E+00,2.032703E+04,4.403147E+04,8.431773E-01,2.779058E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,8.940656E-01,1.039909E+04,2.527131E+04,9.260551E-01,3.052219E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,8.857055E-01,1.030185E+04,2.503500E+04
00:45:00,8.431773E-01,2.779058E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,1.712457E+00,2.041307E+04,4.412949E+04,8.431773E-01,2.779058E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,9.275763E-01,1.064206E+04,2.606764E+04,9.665186E-01,3.185584E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,9.178519E-01,1.053049E+04,2.579436E+04
01:00:00,8.431773E-01,2.779058E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,1.730536E+00,2.044316E+04,4.416823E+04,8.431773E-01,2.779058E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,9.466941E-01,1.071157E+04,2.645093E+04,9.967397E-01,3.285190E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,9.326063E-01,1.055217E+04,2.605732E+04
01:15:00,8.431773E-01,2.779058E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,1.743227E+00,2.047217E+04,4.420446E+04,8.431773E-01,2.779058E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,9.672390E-01,1.084197E+04,2.692008E+04,1.020363E+00,3.363051E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,9.494683E-01,1.064278E+04,2.642548E+04
01:30:00,8.431773E-01,2.779058E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,1.753736E+00,2.047070E+04,4.420990E+04,8.431773E-01,2.779058E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,9.821989E-01,1.090603E+04,2.722995E+04,1.039536E+00,3.426244E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,9.625385E-01,1.068773E+04,2.668489E+04
01:45:00,8.431773E-01,2.779058E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,1.762877E+00,2.045011E+04,4.419597E+04,8.431773E-01,2.779058E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,9.956901E-01,1.095078E+04,2.749601E+04,1.056327E+00,3.481586E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,9.732360E-01,1.070382E+04,2.687594E+04
02:00:00,8.431773E-01,2.779058E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,1.770974E+00,2.041495E+04,4.416701E+04,8.450130E-01,2.785109E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,1.007132E+00,1.097035E+04,2.770278E+04,1.071328E+00,3.531029E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,9.820642E-01,1.069730E+04,2.701325E+04
02:15:00,8.431773E-01,2.779058E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,1.779257E+00,2.041944E+04,4.417899E+04,8.482401E-01,2.795745E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,1.018774E+00,1.101654E+04,2.794015E+04,1.085160E+00,3.576618E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,9.909594E-01,1.071577E+04,2.717734E+04
02:30:00,8.431773E-01,2.779058E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,1.786945E+00,2.041563E+04,4.418214E+04,8.519723E-01,2.808046E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,1.029397E+00,1.104997E+04,2.814780E+04,1.098123E+00,3.619343E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,9.988464E-01,1.072202E+04,2.731242E+04
02:45:00,8.431773E-01,2.779058E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,1.794138E+00,2.040489E+04,4.417781E+04,8.561393E-01,2.821781E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,1.039264E+00,1.107364E+04,2.833308E+04,1.110449E+00,3.659970E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,1.005951E+00,1.071868E+04,2.742488E+04
