Time,CORE_BOTTOM:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_BOTTOM:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_BOTTOM:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_BOTTOM:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_MID:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_MID:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_MID:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_MID:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_TOP:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_TOP:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_3:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_2:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_1:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_4:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,0.000000E+00,1.842810E+04,0.000000E+00,1.299757E+00,0.000000E+00,6.885508E+03,0.000000E+00,4.855424E-01,0.000000E+00,6.824367E+03,0.000000E+00,4.811971E-01,2.706997E+03,1.133644E+03,1.088434E-01,7.997005E-02,1.821824E+03,7.619204E+02,7.324783E-02,5.374166E-02,2.743680E+03,1.230747E+03,1.103177E-01,8.680640E-02,1.894060E+03,1.005236E+03,7.614922E-02,7.088166E-02,3.729158E+01,4.901013E+02,1.500187E-03,3.455500E-02,7.087071E+01,3.352085E+02,2.849034E-03,2.363871E-02,7.062556E+01,5.675674E+02,2.841148E-03,4.002759E-02,1.017437E+02,4.987604E+02,4.090161E-03,3.516353E-02,1.119915E+03,1.168915E+03,4.505347E-02,8.245744E-02,8.245638E+02,7.869552E+02,3.316144E-02,5.550640E-02,1.192011E+03,1.269073E+03,4.794943E-02,8.950797E-02,8.893406E+02,1.037284E+03,3.575725E-02,7.314338E-02
00:30:00,0.000000E+00,1.910437E+04,0.000000E+00,1.346812E+00,0.000000E+00,7.609179E+03,0.000000E+00,5.364801E-01,0.000000E+00,7.526150E+03,0.000000E+00,5.306122E-01,3.149582E+03,1.264192E+03,1.266242E-01,8.915735E-02,2.106931E+03,8.475908E+02,8.470279E-02,5.977133E-02,3.177607E+03,1.365926E+03,1.277505E-01,9.632100E-02,2.179596E+03,1.105096E+03,8.762112E-02,7.791197E-02,8.591992E+01,5.820088E+02,3.454607E-03,4.103376E-02,1.238006E+02,3.955687E+02,4.976308E-03,2.789365E-02,1.333166E+02,6.677560E+02,5.360740E-03,4.709014E-02,1.637390E+02,5.787608E+02,6.581766E-03,4.080222E-02,1.386790E+03,1.305681E+03,5.577843E-02,9.208237E-02,1.012246E+03,8.766212E+02,4.070375E-02,6.181729E-02,1.468486E+03,1.410489E+03,5.906017E-02,9.946155E-02,1.085651E+03,1.140446E+03,4.364627E-02,8.040416E-02
00:45:00,0.000000E+00,1.941607E+04,0.000000E+00,1.368637E+00,0.000000E+00,8.036414E+03,0.000000E+00,5.664855E-01,0.000000E+00,7.938608E+03,0.000000E+00,5.595907E-01,3.464272E+03,1.342395E+03,1.392312E-01,9.463151E-02,2.304520E+03,8.980096E+02,9.261782E-02,6.330500E-02,3.479205E+03,1.444757E+03,1.398303E-01,1.018477E-01,2.375837E+03,1.150147E+03,9.548277E-02,8.107991E-02,1.510750E+02,6.689051E+02,6.073228E-03,4.715189E-02,1.865027E+02,4.468407E+02,7.496311E-03,3.149854E-02,2.133326E+02,7.463430E+02,8.576614E-03,5.261115E-02,2.350022E+02,6.194273E+02,9.445825E-03,4.366461E-02,1.658801E+03,1.391436E+03,6.670762E-02,9.808782E-02,1.189061E+03,9.305228E+02,4.780740E-02,6.559641E-02,1.738849E+03,1.494845E+03,6.992164E-02,1.053777E-01,1.261680E+03,1.188753E+03,5.071914E-02,8.380056E-02
01:00:00,0.000000E+00,1.967258E+04,0.000000E+00,1.386715E+00,0.000000E+00,8.238791E+03,0.000000E+00,5.807512E-01,0.000000E+00,8.133061E+03,0.000000E+00,5.732979E-01,3.697052E+03,1.380974E+03,1.485682E-01,9.735222E-02,2.452435E+03,9.214548E+02,9.855131E-02,6.495857E-02,3.705048E+03,1.480446E+03,1.488889E-01,1.043648E-01,2.522702E+03,1.164987E+03,1.013748E-01,8.212716E-02,2.301271E+02,7.130264E+02,9.250353E-03,5.026224E-02,2.574386E+02,4.707152E+02,1.034720E-02,3.318153E-02,3.061141E+02,7.816020E+02,1.230550E-02,5.509656E-02,3.143246E+02,6.313722E+02,1.263375E-02,4.450687E-02,1.882489E+03,1.434499E+03,7.567048E-02,1.011246E-01,1.331022E+03,9.566267E+02,5.349743E-02,6.743733E-02,1.958591E+03,1.534610E+03,7.872595E-02,1.081821E-01,1.400407E+03,1.206531E+03,5.628305E-02,8.505481E-02
01:15:00,0.000000E+00,1.985274E+04,0.000000E+00,1.399406E+00,0.000000E+00,8.457045E+03,0.000000E+00,5.961341E-01,0.000000E+00,8.340677E+03,0.000000E+00,5.879311E-01,3.877176E+03,1.412272E+03,1.558037E-01,9.955934E-02,2.568283E+03,9.409593E+02,1.032048E-01,6.633405E-02,3.882334E+03,1.511114E+03,1.560104E-01,1.065276E-01,2.637533E+03,1.178737E+03,1.059874E-01,8.309709E-02,3.206254E+02,7.160727E+02,1.288748E-02,5.047733E-02,3.355651E+02,4.724493E+02,1.348705E-02,3.330400E-02,4.100240E+02,7.854928E+02,1.648161E-02,5.537118E-02,4.007094E+02,6.378591E+02,1.610548E-02,4.496433E-02,2.025584E+03,1.469719E+03,8.140328E-02,1.036080E-01,1.429295E+03,9.788620E+02,5.743921E-02,6.900526E-02,2.103839E+03,1.569436E+03,8.454790E-02,1.106378E-01,1.500598E+03,1.222671E+03,6.030447E-02,8.619314E-02
01:30:00,0.000000E+00,2.000195E+04,0.000000E+00,1.409915E+00,0.000000E+00,8.623303E+03,0.000000E+00,6.078517E-01,0.000000E+00,8.495046E+03,0.000000E+00,5.988107E-01,4.022307E+03,1.433952E+03,1.616330E-01,1.010884E-01,2.662438E+03,9.531824E+02,1.069868E-01,6.719623E-02,4.026512E+03,1.530158E+03,1.618019E-01,1.078708E-01,2.731400E+03,1.182913E+03,1.097578E-01,8.339203E-02,4.212350E+02,7.364568E+02,1.693094E-02,5.191445E-02,4.200658E+02,4.832181E+02,1.688305E-02,3.406326E-02,5.238137E+02,8.019424E+02,2.105475E-02,5.653098E-02,4.933675E+02,6.434928E+02,1.982931E-02,4.536163E-02,2.146645E+03,1.495273E+03,8.626729E-02,1.054101E-01,1.508064E+03,9.935329E+02,6.060392E-02,7.003992E-02,2.223796E+03,1.592248E+03,8.936750E-02,1.122466E-01,1.578559E+03,1.229153E+03,6.343666E-02,8.665056E-02
01:45:00,0.000000E+00,2.013172E+04,0.000000E+00,1.419056E+00,0.000000E+00,8.768273E+03,0.000000E+00,6.180686E-01,0.000000E+00,8.627138E+03,0.000000E+00,6.081199E-01,4.148183E+03,1.448349E+03,1.666888E-01,1.021039E-01,2.745189E+03,9.607389E+02,1.103105E-01,6.772930E-02,4.153255E+03,1.542207E+03,1.668928E-01,1.087208E-01,2.814069E+03,1.182982E+03,1.130782E-01,8.339726E-02,5.309240E+02,7.438015E+02,2.133927E-02,5.243245E-02,5.103007E+02,4.865708E+02,2.050948E-02,3.429976E-02,6.465011E+02,8.074401E+02,2.598546E-02,5.691877E-02,5.776552E+02,6.437955E+02,2.321568E-02,4.538311E-02,2.254260E+03,1.513498E+03,9.059095E-02,1.066954E-01,1.576839E+03,1.003539E+03,6.336698E-02,7.074566E-02,2.329827E+03,1.608081E+03,9.362745E-02,1.133632E-01,1.646084E+03,1.231513E+03,6.614941E-02,8.681725E-02
02:00:00,0.000000E+00,2.024667E+04,0.000000E+00,1.427153E+00,0.000000E+00,8.898775E+03,0.000000E+00,6.272656E-01,0.000000E+00,8.743208E+03,0.000000E+00,6.162997E-01,4.259449E+03,1.458318E+03,1.711584E-01,1.028071E-01,2.819154E+03,9.652870E+02,1.132819E-01,6.805019E-02,4.267406E+03,1.549712E+03,1.714785E-01,1.092503E-01,2.888116E+03,1.180112E+03,1.160529E-01,8.319521E-02,6.488772E+02,7.481036E+02,2.607970E-02,5.273593E-02,5.749336E+02,4.883427E+02,2.310623E-02,3.442477E-02,7.585197E+02,8.104281E+02,3.048471E-02,5.712957E-02,6.428184E+02,6.419338E+02,2.583437E-02,4.525198E-02,2.345107E+03,1.527397E+03,9.424092E-02,1.076755E-01,1.635379E+03,1.010590E+03,6.571884E-02,7.124295E-02,2.419741E+03,1.619473E+03,9.723993E-02,1.141666E-01,1.703976E+03,1.230998E+03,6.847523E-02,8.678117E-02
02:15:00,0.000000E+00,2.036424E+04,0.000000E+00,1.435436E+00,0.000000E+00,9.032523E+03,0.000000E+00,6.366916E-01,0.000000E+00,8.860919E+03,0.000000E+00,6.245953E-01,4.360606E+03,1.468046E+03,1.752222E-01,1.034932E-01,2.887464E+03,9.695506E+02,1.160262E-01,6.835095E-02,4.373439E+03,1.556928E+03,1.757385E-01,1.097593E-01,2.956904E+03,1.177131E+03,1.188164E-01,8.298515E-02,7.371484E+02,7.532388E+02,2.962574E-02,5.309809E-02,6.351642E+02,4.908204E+02,2.552669E-02,3.459951E-02,8.449777E+02,8.145064E+02,3.395919E-02,5.741719E-02,7.016231E+02,6.404310E+02,2.819750E-02,4.514611E-02,2.426155E+03,1.541216E+03,9.749718E-02,1.086500E-01,1.687360E+03,1.017449E+03,6.780722E-02,7.172666E-02,2.499916E+03,1.630736E+03,1.004610E-01,1.149609E-01,1.755341E+03,1.230475E+03,7.053884E-02,8.674442E-02
02:30:00,0.000000E+00,2.047336E+04,0.000000E+00,1.443124E+00,0.000000E+00,9.158240E+03,0.000000E+00,6.455515E-01,0.000000E+00,8.969134E+03,0.000000E+00,6.322216E-01,4.453553E+03,1.475635E+03,1.789564E-01,1.040284E-01,2.951477E+03,9.723799E+02,1.185981E-01,6.855053E-02,4.474212E+03,1.561991E+03,1.797875E-01,1.101164E-01,3.021812E+03,1.172931E+03,1.214243E-01,8.268918E-02,8.211566E+02,7.571607E+02,3.300181E-02,5.337469E-02,6.869841E+02,4.926463E+02,2.760911E-02,3.472830E-02,9.275554E+02,8.175461E+02,3.727773E-02,5.763157E-02,7.522740E+02,6.380440E+02,3.023292E-02,4.497790E-02,2.499589E+03,1.553064E+03,1.004475E-01,1.094854E-01,1.734014E+03,1.022972E+03,6.968156E-02,7.211609E-02,2.572438E+03,1.640012E+03,1.033747E-01,1.156150E-01,1.801586E+03,1.228842E+03,7.239672E-02,8.662936E-02
