Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/21  01:00:00,102308564.996141,102308564.996141,295173724.579121,0.0,0.0 
 01/21  02:00:00,110562753.21999,110562753.21999,311974383.51169,0.0,0.0 
 01/21  03:00:00,101764466.699223,101764466.699223,269801130.54483,0.0,0.0 
 01/21  04:00:00,145576193.312027,145576193.312027,350845664.136718,0.0,0.0 
 01/21  05:00:00,138195647.494963,138195647.494963,316310836.407399,0.0,0.0 
 01/21  06:00:00,235469365.401042,235469365.401042,264372050.580306,0.0,0.0 
 01/21  07:00:00,588557885.57592,588557885.57592,431381060.966245,0.0,0.0 
 01/21  08:00:00,683978437.241995,683978437.241995,407303255.180216,0.0,0.0 
 01/21  09:00:00,589754914.817157,589754914.817157,402699322.783051,0.0,0.0 
 01/21  10:00:00,559773526.419826,559773526.419826,401319772.773315,0.0,0.0 
 01/21  11:00:00,541581241.387038,541581241.387038,404802889.740629,0.0,0.0 
 01/21  12:00:00,527461901.088398,527461901.088398,408763196.326891,0.0,0.0 
 01/21  13:00:00,515765655.374252,515765655.374252,404146952.670927,0.0,0.0 
 01/21  14:00:00,505558158.185994,505558158.185994,408122956.180505,0.0,0.0 
 01/21  15:00:00,496663116.380887,496663116.380887,403617461.876048,0.0,0.0 
 01/21  16:00:00,488762959.408018,488762959.408018,403377381.695037,0.0,0.0 
 01/21  17:00:00,488866462.027585,488866462.027585,403199024.258191,0.0,0.0 
 01/21  18:00:00,504638867.39168,504638867.39168,398862271.483297,0.0,0.0 
 01/21  19:00:00,420848814.395352,420848814.395352,291444296.35471,0.0,0.0 
 01/21  20:00:00,446282180.317606,446282180.317606,307432599.768507,0.0,0.0 
 01/21  21:00:00,312829004.382907,312829004.382907,207371669.840065,0.0,0.0 
 01/21  22:00:00,457986133.703862,457986133.703862,309408469.359478,0.0,0.0 
 01/21  23:00:00,49159663.9439956,49159663.9439956,190647954.672642,0.0,0.0 
 01/21  24:00:00,81250224.9641926,81250224.9641926,195594908.638041,0.0,0.0 
 07/21  01:00:00,527653334.858059,527653334.858059,4597200.,158309273.450227,224813060.552967 
 07/21  02:00:00,534179721.358126,534179721.358126,4597200.,158309273.450227,224813060.552967 
 07/21  03:00:00,493406488.732658,493406488.732658,4597200.,158309273.450227,224813060.552967 
